epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,23364,0.41994,0.41859,0.98018,0.97119,0.97296,0.99064,0.99059,0.10793,0.17342,0.98753,0.0028225,0.0028225,0.0028225
60,23705.9,0.41342,0.413,0.9755,0.97308,0.97349,0.99079,0.99077,0.10718,0.17081,0.98754,0.00269875,0.00269875,0.00269875
61,24042.8,0.40521,0.40006,0.97373,0.97394,0.97267,0.9909,0.99085,0.10618,0.16819,0.98742,0.002575,0.002575,0.002575
62,24379.7,0.40444,0.40076,0.97299,0.97548,0.9712,0.99097,0.99092,0.10699,0.16768,0.98752,0.00245125,0.00245125,0.00245125
63,24722.1,0.40394,0.39584,0.97464,0.97389,0.97142,0.99085,0.9908,0.10704,0.16795,0.98751,0.0023275,0.0023275,0.0023275
64,25067.9,0.4071,0.39237,0.97499,0.97477,0.97051,0.9908,0.99076,0.10733,0.16672,0.98748,0.00220375,0.00220375,0.00220375
65,25412,0.39683,0.38542,0.97055,0.97415,0.9716,0.99074,0.99072,0.10772,0.16562,0.98767,0.00208,0.00208,0.00208
66,25756.9,0.39193,0.38203,0.96523,0.97233,0.97252,0.99078,0.99074,0.10844,0.16572,0.98772,0.00195625,0.00195625,0.00195625
67,26096.2,0.38843,0.38157,0.96597,0.97214,0.97234,0.99084,0.99081,0.10871,0.1658,0.98769,0.0018325,0.0018325,0.0018325
68,26440.8,0.38758,0.38199,0.96729,0.97234,0.97311,0.99081,0.99079,0.10916,0.16742,0.9877,0.00170875,0.00170875,0.00170875
69,26784.1,0.37588,0.36922,0.95999,0.97226,0.97292,0.99082,0.9908,0.1087,0.16841,0.98772,0.001585,0.001585,0.001585
70,27125.3,0.3735,0.37061,0.96022,0.97089,0.97394,0.99072,0.99069,0.1079,0.1683,0.9877,0.00146125,0.00146125,0.00146125
71,27474.9,0.47234,0.32995,1.10943,0.97158,0.97269,0.99076,0.99073,0.10597,0.16627,0.98754,0.0013375,0.0013375,0.0013375
72,27817.7,0.44861,0.29859,1.08136,0.97106,0.97328,0.99073,0.99071,0.10334,0.16406,0.98734,0.00121375,0.00121375,0.00121375
73,28155.8,0.454,0.30012,1.09058,0.97146,0.97408,0.99077,0.99074,0.10112,0.16223,0.98716,0.00109,0.00109,0.00109
74,28497.9,0.4467,0.28978,1.0828,0.97087,0.97495,0.99068,0.99065,0.09933,0.16097,0.98701,0.00096625,0.00096625,0.00096625
75,28839.2,0.43339,0.29608,1.0723,0.97024,0.97505,0.99077,0.99072,0.0983,0.15931,0.9869,0.0008425,0.0008425,0.0008425
76,29180.2,0.41949,0.27738,1.06132,0.96964,0.97476,0.99096,0.99091,0.09678,0.15716,0.98673,0.00071875,0.00071875,0.00071875
77,29662.6,0.4201,0.27621,1.06197,0.96956,0.9741,0.99093,0.99088,0.09509,0.15515,0.98658,0.000595,0.000595,0.000595
78,30118.2,0.41194,0.26962,1.05585,0.96748,0.97603,0.99101,0.99096,0.09378,0.15265,0.98647,0.00047125,0.00047125,0.00047125
79,30461.6,0.41441,0.28045,1.05965,0.96798,0.97563,0.99111,0.99106,0.09262,0.15104,0.98633,0.0003475,0.0003475,0.0003475
80,30809.2,0.40133,0.26689,1.0475,0.96753,0.97714,0.9911,0.99105,0.0916,0.1498,0.9862,0.00022375,0.00022375,0.00022375
